canonical_smiles,molecule_chembl_id
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@H](C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)C(C)C)cc2)cc1)C(C)CC,CHEMBL559339
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc2cc(C(=O)OCCCC(=O)N[C@H](C(=O)N[C@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)C(C)C)ccc2c1)C(C)CC,CHEMBL538145
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL231522
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C,CHEMBL300891
CC(C)C[C@H](NC(=O)[C@H](CCl)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccn1)C(C)C)C(N)=O,CHEMBL1098668
C#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccn1)C(C)C,CHEMBL1098671
C#CC[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccn1)C(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O,CHEMBL1098670
CC(C)C[C@H](NC(=O)[C@H](CC#N)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccn1)C(C)C)C(N)=O,CHEMBL1098669
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)cc2)cc1)[C@@H](C)CC,CHEMBL1213687
CC(C)CCNC(=O)[C@H](c1c[nH]c2ccccc12)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCO2,CHEMBL1777836
COc1ccc(Cl)cc1NC(=O)c1sc2nc(-c3ccccc3)cc(-c3ccc(OCc4ccccc4)c(OC)c3)c2c1N,CHEMBL1780012
CCCCOc1cccc(-c2cc(C(=O)N/N=C(\C)c3cccc(NC(=O)C(C)(C)C)c3)c3ccccc3n2)c1,CHEMBL1780014
COC(=O)CCC(=O)N(CCN(Cc1ccccc1)C(=O)CCC(=O)OC)Cc1ccccc1,CHEMBL1699130
CCN(CC)C(=O)c1sc(NC(=O)c2cc(-c3cccc(C)c3)nc3ccccc23)c(C(=O)OC)c1C,CHEMBL1780016
CCN(CC)c1ccc(/C=N/NC(=O)CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,CHEMBL1780017
CCOC(=O)c1ccc(/N=C2\S/C(=C\c3ccc(C(C)(C)C)cc3)C(=O)N2c2ccc(C(=O)OCC)cc2)cc1,CHEMBL1780018
Cc1ccc(NC(=S)N(Cc2ccc3c(c2)OCO3)Cc2cc3cccc(C)c3[nH]c2=O)cc1,CHEMBL1780020
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1cccc([N+](=O)[O-])c1,CHEMBL1941005
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(O)c(O)c1,CHEMBL1941006
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(Cl)cc1,CHEMBL1941007
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccccc1[N+](=O)[O-],CHEMBL1941008
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc([N+](=O)[O-])cc1,CHEMBL1941009
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(F)cc1,CHEMBL1941010
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(F)cc1F,CHEMBL1941011
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccccc1,CHEMBL1941012
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(-c2ccccc2)cc1,CHEMBL1941013
COc1ccc(C(=O)Cn2c(-c3ccccn3)nc3ccccc32)cc1,CHEMBL1941014
COc1ccc(OC)c(C(=O)Cn2c(-c3ccccn3)nc3ccccc32)c1,CHEMBL1941015
OC(CNCc1ccccc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,CHEMBL2347356
N=C(S)NN/C(=C\c1nc(-c2ccccn2)cc2ccccc12)c1ccc(Cl)cc1,CHEMBL2347357
O=C(CN(c1cccc(Br)c1)S(=O)(=O)c1ccccc1)Nc1ccc(CSc2ccccc2)cc1,CHEMBL2347358
Cc1ccccc1N/C(=N\N=C/c1ccc2ccc3ccc(/C=N\N=C(/Nc4ccccc4C)c4ccccn4)nc3c2n1)c1ccccn1,CHEMBL2347359
Cc1ccc(S(=O)(=O)Nc2ccccc2CNc2cnc3ccccc3c2)cc1,CHEMBL2347360
CCC(CN1C(=N)NC(c2ccccc2)(c2ccccc2)C1=O)c1ccccc1,CHEMBL588662
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,CHEMBL587764
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,CHEMBL3264796
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2ccccc2)cc(N2CCCCS2(=O)=O)c1,CHEMBL3264797
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)CNC(C)(C)c2ccccc2)cc(N2CCCCS2(=O)=O)c1,CHEMBL3264798
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCC2)c1,CHEMBL3264799
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(O)c2)cc(N2CCCCC2)c1,CHEMBL3264800
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2ccccc2)cc(N2CCCCC2)c1,CHEMBL3264801
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2ccccn2)cc(N2CCCCC2)c1,CHEMBL3264802
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccnc2)cc(N2CCCCC2)c1,CHEMBL3264803
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2ccncc2)cc(N2CCCCC2)c1,CHEMBL3264804
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cncc(OC)c2)cc(N2CCCCC2)c1,CHEMBL3264805
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,CHEMBL581498
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2(c3cccc(OC)c3)CC2)cc(N2CCCCC2)c1,CHEMBL3264806
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCC2)c1,CHEMBL3264807
CCCNC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCC2)c1,CHEMBL3259870
COc1cccc(C(C)(C)NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(C(=O)N3CCCC3)cc(N3CCCCC3)c2)c1,CHEMBL3264808
COc1cccc(C(C)(C)NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(C(N)=O)cc(N3CCCCC3)c2)c1,CHEMBL3264809
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(C2CCCCC2)c1,CHEMBL3264810
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCC2)c1,CHEMBL3264811
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2cccc(OC)c2)cc(-c2ccccc2)c1,CHEMBL3264812
COc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c(OC)c1,CHEMBL279386
COc1ccc(C(=O)/C=C/c2ccc(F)cc2F)c(OC)c1,CHEMBL137883
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1C[C@@H]1CCCO1,CHEMBL3764744
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3764405
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1C[C@@H]1CC[C@@H](c2ccccc2)O1,CHEMBL3764837
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1C[C@H]1CC[C@@H](c2ccccc2)O1,CHEMBL3763404
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3764405
CC(C)[C@H]1CC[C@@H](Cn2c(N)nc3cc(-c4ccccc4)ccc3c2=O)O1,CHEMBL3764953
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccc3ccccc3c2)O1,CHEMBL3763955
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1CC1CCC2(CCCCC2)O1,CHEMBL3763524
Nc1nc2cc(-c3ccccc3)ccc2c(=O)n1CC1CC(c2ccccc2)CO1,CHEMBL3765557
CCCCc1ccc(-c2ccc3c(=O)n(C[C@@H]4CC[C@H](c5ccccc5)O4)c(N)nc3c2)cc1,CHEMBL3763261
CCCCCc1ccc(-c2ccc3c(=O)n(C[C@@H]4CC[C@H](c5ccccc5)O4)c(N)nc3c2)cc1,CHEMBL3764174
CCCCc1cccc(-c2ccc3c(=O)n(C[C@@H]4CC[C@H](c5ccccc5)O4)c(N)nc3c2)c1,CHEMBL3765238
COC(=O)CCc1ccc(-c2ccc3c(=O)n(C[C@@H]4CC[C@H](c5ccccc5)O4)c(N)nc3c2)cc1,CHEMBL3765317
Nc1nc2cc(-c3ccc(C4CCCCC4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3763159
Nc1nc2cc(-c3ccc(CCC4CCCCC4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3764518
Nc1nc2cc(-c3ccc(CCC4CC4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3765358
CC(C)CCc1ccc(-c2ccc3c(=O)n(C[C@@H]4CC[C@H](c5ccccc5)O4)c(N)nc3c2)cc1,CHEMBL3764738
Nc1nc2cc(-c3ccc(CCc4ccccc4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3763442
Nc1nc2cc(-c3ccc(CCCc4ccccc4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3763523
Nc1nc2cc(-c3ccc(CCCCc4ccccc4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3763489
Nc1nc2cc(-c3ccc(CCCCCc4ccccc4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1,CHEMBL3763900
Nc1nc2ccccc2c(=O)n1CC1CCCO1,CHEMBL3764172
Cc1ccc(C)n1NC(=O)c1ccc(O)cc1,CHEMBL1370160
NC(=O)c1ccsc1NC(=O)c1cccs1,CHEMBL1562951
NCC(O)CNc1ccc([N+](=O)[O-])cc1Cl,CHEMBL3764748
Nc1ccc(-c2cn3ccsc3n2)cc1,CHEMBL3764629
N=C(N)N/N=C/c1ccc2c(c1)OCO2,CHEMBL1178994
Cc1[nH]nc(Nc2ccccc2)c1N,CHEMBL3765202
CNC(=O)C1CCC(c2nsc3ccccc23)CC1,CHEMBL3765209
OC1CN(C(c2ccccc2)c2ccccc2)C1,CHEMBL3763552
CC(C)NS(=O)(=O)Cc1ccccc1,CHEMBL3764193
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(OCc3ccccc3)cc2)cc1,CHEMBL3942492
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(Oc3ccccc3)cc2)cc1,CHEMBL3972696
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)cc1,CHEMBL3975190
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)cc2)cc1,CHEMBL220718
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(C(F)(F)F)cc2)cc1,CHEMBL3984851
CCCCCc1ccc(CN(CCN(CCCC)CCCC)Cc2ccc(OCc3ccccc3)cc2)cc1,CHEMBL3956974
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(OCCCC)cc2)cc1,CHEMBL3954375
CCCCCc1ccc(C(=O)N(CCCN(CCCC)CCCC)Cc2ccc(OCc3ccccc3)cc2)cc1,CHEMBL3891241
CCCCCc1ccc(C(=O)N(CCCN(CCCC)CCCC)Cc2ccc(-c3ccccc3)cc2)cc1,CHEMBL3986330
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccc(OCCO)cc3)cc2)cc1,CHEMBL220942
CCCCCc1ccc(C(=O)N(CCN(CCCC)CCCC)Cc2ccc(-c3ccccc3F)cc2)cc1,CHEMBL3940341
